Season,Team,rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference
2022-2023,Manchester United,3.0,75.0,73.0,38.0,23.2,20140000,238020000,6.1,23.0,6.0,9.0,58.0,43.0,15.0
2022-2023,Newcastle,4.0,71.0,40.0,17.0,25.5,5920000,136850000,6.0,19.0,14.0,5.0,68.0,33.0,35.0
2022-2023,Liverpool,5.0,67.0,67.0,36.0,22.3,12570000,129889999,6.1,19.0,10.0,9.0,75.0,47.0,28.0
2022-2023,Brighton,6.0,62.0,59.0,34.0,22.0,2130000,40240000,6.0,18.0,8.0,12.0,72.0,53.0,19.0
2022-2023,Aston Villa,7.0,61.0,64.0,30.0,23.0,6370000,96140000,5.8,18.0,7.0,13.0,51.0,46.0,5.0
2022-2023,Tottenham,8.0,60.0,64.0,30.0,22.3,8960000,169900000,5.9,18.0,6.0,14.0,70.0,63.0,7.0
2022-2023,Brentford,9.0,59.0,45.0,27.0,22.8,1340000,56000000,5.8,15.0,14.0,9.0,58.0,46.0,12.0
2022-2023,Fulham,10.0,52.0,54.0,28.0,24.0,3650000,71300000,5.7,15.0,7.0,16.0,55.0,53.0,2.0
2022-2023,Crystal Palace,11.0,45.0,63.0,24.0,22.3,4260000,24000000,5.7,11.0,12.0,15.0,40.0,49.0,-9.0
2022-2023,Chelsea,12.0,44.0,81.0,44.0,22.6,19690000,617290000,5.8,11.0,11.0,16.0,38.0,47.0,-9.0
2022-2023,Wolverhampton,13.0,41.0,61.0,43.0,23.6,4900000,186160000,5.6,11.0,8.0,19.0,31.0,58.0,-27.0
2022-2023,West Ham,14.0,40.0,52.0,24.0,23.2,5580000,170900000,5.7,11.0,7.0,20.0,42.0,55.0,-13.0
2022-2023,Bournemouth,15.0,39.0,50.0,16.0,22.8,2330000,83100000,5.4,11.0,6.0,21.0,37.0,71.0,-34.0
2022-2023,Nottingham Forest,16.0,38.0,55.0,31.0,24.8,3590000,174100000,5.5,9.0,11.0,18.0,38.0,68.0,-30.0
2022-2023,Everton,17.0,36.0,59.0,28.0,24.1,8860000,45000000,5.7,8.0,12.0,18.0,34.0,57.0,-23.0
2022-2023,Leicester,18.0,34.0,58.0,33.0,23.4,6770000,48000000,5.7,9.0,7.0,22.0,51.0,68.0,-17.0
2022-2023,Leeds,19.0,31.0,52.0,31.0,22.4,2630000,143040000,5.5,7.0,10.0,21.0,48.0,78.0,-30.0
2022-2023,Southampton,20.0,25.0,51.0,24.0,22.5,4940000,117100000,5.4,6.0,7.0,25.0,36.0,73.0,-37.0
Arsenal_summary_stats,,8.0,8.0,8.0,8.0,8.0,8,8,,,,,,,
Arsenal_summary_stats,,5.125,68.625,57.75,34.0,22.875,7711875,105007500,,,,,,,
Arsenal_summary_stats,,2.295181287579947,8.733147035453895,10.194536351819607,3.5456210417116734,0.6584614100852288,5150589,70768741,,,,,,,
Arsenal_summary_stats,,2.0,56.0,44.0,29.0,21.8,0,24100000,,,,,,,
Arsenal_summary_stats,,4.25,62.5,51.75,31.5,22.475,4641250,35825000,,,,,,,
Arsenal_summary_stats,,5.0,69.5,55.0,34.5,22.85,8910000,117000000,,,,,,,
Arsenal_summary_stats,,6.5,72.0,63.25,36.25,23.325,11075000,145525000,,,,,,,
Arsenal_summary_stats,,8.0,84.0,76.0,39.0,23.9,14270000,224560000,,,,,,,
Aston Villa_summary_stats,,5.0,5.0,5.0,5.0,5.0,5,5,,,,,,,
Aston Villa_summary_stats,,13.8,42.6,50.6,23.2,22.92,4222000,94864000,,,,,,,
Aston Villa_summary_stats,,5.06951674225463,17.401149387324963,9.370165420097983,3.96232255123179,0.8348652585896723,2727447,32897551,,,,,,,
Aston Villa_summary_stats,,7.0,17.0,41.0,20.0,21.7,0,66500000,,,,,,,
Aston Villa_summary_stats,,11.0,35.0,44.0,21.0,22.7,3190000,68000000,,,,,,,
